Title,nombre_jornada,Recintos,Date,Status
"Vera – Viel vs Concha - Vial","Fecha 10","Conecta Santa Blanca>Cancha 14",05-06-26,future
"Vidal – Benítez vs Concha - Vial","Fecha 11","Conecta Santa Blanca>Cancha 14",12-06-26,future
"Vargas – Diaz vs Concha - Vial","Fecha 12","Conecta Santa Blanca>Cancha 14",19-06-26,future
"Sfeir – Amigo vs Concha - Vial","Fecha 13","Conecta Santa Blanca>Cancha 14",26-06-26,future
"Ponce – Unda vs Concha -Vial","Fecha 14","Conecta Santa Blanca>Cancha 14",03-07-26,future
"Hurtado Sotomayor – Martínez Cuadro vs Concha -Vial","Fecha 15","Conecta Santa Blanca>Cancha 14",10-07-26,future
"Freyre – Brosky vs Concha -Vial","Fecha 16","Conecta Santa Blanca>Cancha 14",24-07-26,future
"Botero Piedrahita – Verástegui vs Concha -Vial","Fecha 17","Conecta Santa Blanca>Cancha 14",31-07-26,future
"Martiz – Kattan vs Concha -Vial","Fecha 18","Conecta Santa Blanca>Cancha 14",07-08-26,future
"Sica – Pizarro vs Concha -Vial","Fecha 19","Conecta Santa Blanca>Cancha 14",14-08-26,future
